current,phase,voltage,timestamp
0.0926,89.9764,224.80302,2023-08-11 11:44:56
0.08124,89.97917,223.51854,2023-08-11 11:44:56
0.04078,89.99039,243.24818,2023-08-11 11:44:56
0.12045,89.97276,253.37434,2023-08-11 11:44:56
0.13545,89.96615,229.23659,2023-08-11 11:44:56
0.0926,89.9764,228.79671,2023-08-11 11:45:05
0.08124,89.97917,223.51854,2023-08-11 11:45:05
0.04078,89.99039,243.24818,2023-08-11 11:45:05
0.12045,89.97276,253.37434,2023-08-11 11:45:05
0.13545,89.96615,229.23659,2023-08-11 11:45:05
0.11121,89.9764,228.79671,2023-08-11 11:45:06
0.08124,89.97917,223.51854,2023-08-11 11:45:06
0.04078,89.99039,243.24818,2023-08-11 11:45:06
0.12045,89.97276,253.37434,2023-08-11 11:45:06
0.13545,89.96615,229.23659,2023-08-11 11:45:06
0.11121,89.97215,228.79671,2023-08-11 11:45:06
0.08124,89.97917,223.51854,2023-08-11 11:45:06
0.04078,89.99039,243.24818,2023-08-11 11:45:06
0.12045,89.97276,253.37434,2023-08-11 11:45:06
0.13545,89.96615,229.23659,2023-08-11 11:45:06
0.11121,89.97215,228.79671,2023-08-11 11:45:06
0.08124,89.97917,229.86324,2023-08-11 11:45:06
0.04078,89.99039,243.24818,2023-08-11 11:45:06
0.12045,89.97276,253.37434,2023-08-11 11:45:06
0.13545,89.96615,229.23659,2023-08-11 11:45:06
0.11121,89.97215,228.79671,2023-08-11 11:45:06
0.04887,89.97917,229.86324,2023-08-11 11:45:06
0.04078,89.99039,243.24818,2023-08-11 11:45:06
0.12045,89.97276,253.37434,2023-08-11 11:45:06
0.13545,89.96615,229.23659,2023-08-11 11:45:06
0.11121,89.97215,228.79671,2023-08-11 11:45:06
0.04887,89.98782,229.86324,2023-08-11 11:45:06
0.04078,89.99039,243.24818,2023-08-11 11:45:06
0.12045,89.97276,253.37434,2023-08-11 11:45:06
0.13545,89.96615,229.23659,2023-08-11 11:45:06
0.11121,89.97215,228.79671,2023-08-11 11:45:06
0.04887,89.98782,229.86324,2023-08-11 11:45:06
0.04078,89.99039,229.50662,2023-08-11 11:45:06
0.12045,89.97276,253.37434,2023-08-11 11:45:06
0.13545,89.96615,229.23659,2023-08-11 11:45:06
0.11121,89.97215,228.79671,2023-08-11 11:45:06
0.04887,89.98782,229.86324,2023-08-11 11:45:06
0.09992,89.99039,229.50662,2023-08-11 11:45:06
0.12045,89.97276,253.37434,2023-08-11 11:45:06
0.13545,89.96615,229.23659,2023-08-11 11:45:06
0.11121,89.97215,228.79671,2023-08-11 11:45:06
0.04887,89.98782,229.86324,2023-08-11 11:45:06
0.09992,89.97506,229.50662,2023-08-11 11:45:06
0.12045,89.97276,253.37434,2023-08-11 11:45:06
0.13545,89.96615,229.23659,2023-08-11 11:45:06
0.11121,89.97215,228.79671,2023-08-11 11:45:07
0.04887,89.98782,229.86324,2023-08-11 11:45:07
0.09992,89.97506,229.50662,2023-08-11 11:45:07
0.12045,89.97276,233.00319,2023-08-11 11:45:07
0.13545,89.96615,229.23659,2023-08-11 11:45:07
0.11121,89.97215,228.79671,2023-08-11 11:45:07
0.04887,89.98782,229.86324,2023-08-11 11:45:07
0.09992,89.97506,229.50662,2023-08-11 11:45:07
0.12212,89.97276,233.00319,2023-08-11 11:45:07
0.13545,89.96615,229.23659,2023-08-11 11:45:07
0.11121,89.97215,228.79671,2023-08-11 11:45:07
0.04887,89.98782,229.86324,2023-08-11 11:45:07
0.09992,89.97506,229.50662,2023-08-11 11:45:07
0.12212,89.96997,233.00319,2023-08-11 11:45:07
0.13545,89.96615,229.23659,2023-08-11 11:45:07
0.11121,89.97215,228.79671,2023-08-11 11:45:07
0.04887,89.98782,229.86324,2023-08-11 11:45:07
0.09992,89.97506,229.50662,2023-08-11 11:45:07
0.12212,89.96997,233.00319,2023-08-11 11:45:07
0.13545,89.96615,254.53244,2023-08-11 11:45:07
0.11121,89.97215,228.79671,2023-08-11 11:45:07
0.04887,89.98782,229.86324,2023-08-11 11:45:07
0.09992,89.97506,229.50662,2023-08-11 11:45:07
0.12212,89.96997,233.00319,2023-08-11 11:45:07
0.08633,89.96615,254.53244,2023-08-11 11:45:07
0.11121,89.97215,228.79671,2023-08-11 11:45:07
0.04887,89.98782,229.86324,2023-08-11 11:45:07
0.09992,89.97506,229.50662,2023-08-11 11:45:07
0.12212,89.96997,233.00319,2023-08-11 11:45:07
0.08633,89.98057,254.53244,2023-08-11 11:45:07
0.11121,89.97215,223.52834,2023-08-11 11:45:18
0.04887,89.98782,229.86324,2023-08-11 11:45:18
0.09992,89.97506,229.50662,2023-08-11 11:45:18
0.12212,89.96997,233.00319,2023-08-11 11:45:18
0.08633,89.98057,254.53244,2023-08-11 11:45:18
0.05181,89.97215,223.52834,2023-08-11 11:45:18
0.04887,89.98782,229.86324,2023-08-11 11:45:18
0.09992,89.97506,229.50662,2023-08-11 11:45:18
0.12212,89.96997,233.00319,2023-08-11 11:45:18
0.08633,89.98057,254.53244,2023-08-11 11:45:18
0.05181,89.98672,223.52834,2023-08-11 11:45:18
0.04887,89.98782,229.86324,2023-08-11 11:45:18
0.09992,89.97506,229.50662,2023-08-11 11:45:18
0.12212,89.96997,233.00319,2023-08-11 11:45:18
0.08633,89.98057,254.53244,2023-08-11 11:45:18
0.05181,89.98672,223.52834,2023-08-11 11:45:18
0.04887,89.98782,226.63644,2023-08-11 11:45:18
0.09992,89.97506,229.50662,2023-08-11 11:45:18
0.12212,89.96997,233.00319,2023-08-11 11:45:18
0.08633,89.98057,254.53244,2023-08-11 11:45:18
0.05181,89.98672,223.52834,2023-08-11 11:45:19
0.1144,89.98782,226.63644,2023-08-11 11:45:19
0.09992,89.97506,229.50662,2023-08-11 11:45:19
0.12212,89.96997,233.00319,2023-08-11 11:45:19
0.08633,89.98057,254.53244,2023-08-11 11:45:19
0.05181,89.98672,223.52834,2023-08-11 11:45:19
0.1144,89.97108,226.63644,2023-08-11 11:45:19
0.09992,89.97506,229.50662,2023-08-11 11:45:19
0.12212,89.96997,233.00319,2023-08-11 11:45:19
0.08633,89.98057,254.53244,2023-08-11 11:45:19
0.05181,89.98672,223.52834,2023-08-11 11:45:19
0.1144,89.97108,226.63644,2023-08-11 11:45:19
0.09992,89.97506,226.26147,2023-08-11 11:45:19
0.12212,89.96997,233.00319,2023-08-11 11:45:19
0.08633,89.98057,254.53244,2023-08-11 11:45:19
0.05181,89.98672,223.52834,2023-08-11 11:45:19
0.1144,89.97108,226.63644,2023-08-11 11:45:19
0.08807,89.97506,226.26147,2023-08-11 11:45:19
0.12212,89.96997,233.00319,2023-08-11 11:45:19
0.08633,89.98057,254.53244,2023-08-11 11:45:19
0.05181,89.98672,223.52834,2023-08-11 11:45:19
0.1144,89.97108,226.63644,2023-08-11 11:45:19
0.08807,89.9777,226.26147,2023-08-11 11:45:19
0.12212,89.96997,233.00319,2023-08-11 11:45:19
0.08633,89.98057,254.53244,2023-08-11 11:45:19
0.05181,89.98672,223.52834,2023-08-11 11:45:19
0.1144,89.97108,226.63644,2023-08-11 11:45:19
0.08807,89.9777,226.26147,2023-08-11 11:45:19
0.12212,89.96997,226.20012,2023-08-11 11:45:19
0.08633,89.98057,254.53244,2023-08-11 11:45:19
0.05181,89.98672,223.52834,2023-08-11 11:45:19
0.1144,89.97108,226.63644,2023-08-11 11:45:19
0.08807,89.9777,226.26147,2023-08-11 11:45:19
0.04801,89.96997,226.20012,2023-08-11 11:45:19
0.08633,89.98057,254.53244,2023-08-11 11:45:19
0.05181,89.98672,223.52834,2023-08-11 11:45:20
0.1144,89.97108,226.63644,2023-08-11 11:45:20
0.08807,89.9777,226.26147,2023-08-11 11:45:20
0.04801,89.98784,226.20012,2023-08-11 11:45:20
0.08633,89.98057,254.53244,2023-08-11 11:45:20
0.05181,89.98672,223.52834,2023-08-11 11:45:20
0.1144,89.97108,226.63644,2023-08-11 11:45:20
0.08807,89.9777,226.26147,2023-08-11 11:45:20
0.04801,89.98784,226.20012,2023-08-11 11:45:20
0.08633,89.98057,239.59219,2023-08-11 11:45:20
0.05181,89.98672,223.52834,2023-08-11 11:45:20
0.1144,89.97108,226.63644,2023-08-11 11:45:20
0.08807,89.9777,226.26147,2023-08-11 11:45:20
0.04801,89.98784,226.20012,2023-08-11 11:45:20
0.11382,89.98057,239.59219,2023-08-11 11:45:20
0.05181,89.98672,223.52834,2023-08-11 11:45:20
0.1144,89.97108,226.63644,2023-08-11 11:45:20
0.08807,89.9777,226.26147,2023-08-11 11:45:20
0.04801,89.98784,226.20012,2023-08-11 11:45:20
0.11382,89.97278,239.59219,2023-08-11 11:45:20
0.05181,89.98672,226.20084,2023-08-11 11:45:31
0.1144,89.97108,226.63644,2023-08-11 11:45:31
0.08807,89.9777,226.26147,2023-08-11 11:45:31
0.04801,89.98784,226.20012,2023-08-11 11:45:31
0.11382,89.97278,239.59219,2023-08-11 11:45:31
0.09242,89.98672,226.20084,2023-08-11 11:45:33
0.1144,89.97108,226.63644,2023-08-11 11:45:33
0.08807,89.9777,226.26147,2023-08-11 11:45:33
0.04801,89.98784,226.20012,2023-08-11 11:45:33
0.11382,89.97278,239.59219,2023-08-11 11:45:33
0.09242,89.97659,226.20084,2023-08-11 11:45:33
0.1144,89.97108,226.63644,2023-08-11 11:45:33
0.08807,89.9777,226.26147,2023-08-11 11:45:33
0.04801,89.98784,226.20012,2023-08-11 11:45:33
0.11382,89.97278,239.59219,2023-08-11 11:45:33
0.09242,89.97659,226.20084,2023-08-11 11:45:33
0.1144,89.97108,226.05869,2023-08-11 11:45:33
0.08807,89.9777,226.26147,2023-08-11 11:45:33
0.04801,89.98784,226.20012,2023-08-11 11:45:33
0.11382,89.97278,239.59219,2023-08-11 11:45:33
0.09242,89.97659,226.20084,2023-08-11 11:45:34
0.0462,89.97108,226.05869,2023-08-11 11:45:34
0.08807,89.9777,226.26147,2023-08-11 11:45:34
